codigo;nome;lote;segmento;capital_reais;antes_h1;antes_h2;antes_h3;antes_h4;antes_h5;antes_resumo;depois_h1;depois_h2;depois_h3;depois_h4;depois_h5;depois_resumo;mudou;motivo;id
"GTU-H4G";"MASSA CORRIDA (BD 5 KG) HIPERCOR";"2";"sem_giro";"0";"MASSA CORRIDA (BD 5 KG) HIPERCOR";"";"";"";"";"MASSA CORRIDA (BD 5 KG) HIPERCOR";"MASSA CORRIDA";"5 KG";"";"";"Hipercor";"MASSA CORRIDA › 5 KG › Hipercor";"SIM";"Massa/argamassa: produto + apresentação";"69bd5bfee2dc8df131731ddd"
"G89-G92";"MECANISMO UNIVERSAL SUP";"2";"sem_giro";"0";"MECANISMO UNIVERSAL SUP";"";"";"";"";"MECANISMO UNIVERSAL SUP";"MECANISMO UNIVERSAL SUP";"AVULSO";"";"";"";"MECANISMO UNIVERSAL SUP › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5bffc11311baa88b7555"
"296-CRW";"NICHO EMBUTIR CINZA URBANO 30X60";"2";"sem_giro";"0";"NICHO EMBUTIR CINZA URBANO 30X60";"";"";"";"";"NICHO EMBUTIR CINZA URBANO 30X60";"NICHO EMBUTIR CINZA URBANO 30X60";"30X60";"";"";"";"NICHO EMBUTIR CINZA URBANO 30X60 › 30X60";"SIM";"Nome curto + apresentação";"69bd5bff8eb373321a44c74d"
"XM9-J8O";"ÓCULOS DE SEGURANÇA TRANSPARENTES";"2";"sem_giro";"0";"ÓCULOS DE SEGURANÇA TRANSPARENTES";"";"";"";"";"ÓCULOS DE SEGURANÇA TRANSPARENTES";"ÓCULOS SEGURANÇA TRANSPARENTES";"AVULSO";"";"";"";"ÓCULOS SEGURANÇA TRANSPARENTES › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c0179dbebad0676aefe"
"421-C85";"PA DE BICO C/CABO";"2";"sem_giro";"0";"PA DE BICO C/CABO";"";"";"";"";"PA DE BICO C/CABO";"PA BICO C/CABO";"AVULSO";"";"";"";"PA BICO C/CABO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c01b92f375e9640c492"
"W5O-DN4";"PA QUADRADA C/CABO";"2";"sem_giro";"0";"PA QUADRADA C/CABO";"";"";"";"";"PA QUADRADA C/CABO";"PA QUADRADA C/CABO";"AVULSO";"";"";"";"PA QUADRADA C/CABO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c01babbb02e1efc7b8e"
"RVK-Q6J";"PARAFUSO P/ASSENTO SANITARIO";"2";"sem_giro";"0";"PARAFUSO P/ASSENTO SANITARIO";"";"";"";"";"PARAFUSO P/ASSENTO SANITARIO";"PARAFUSO P/ASSENTO SANITARIO";"AVULSO";"";"";"";"PARAFUSO P/ASSENTO SANITARIO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c025c0dacbda17ddb06"
"5RU-2RW";"PAVER HEXAGONAL";"2";"sem_giro";"0";"PAVER HEXAGONAL";"";"";"";"";"PAVER HEXAGONAL";"PAVER HEXAGONAL";"AVULSO";"";"";"";"PAVER HEXAGONAL › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c02ff6261bccef98280"
"9SN-VEG";"PAVER RETANG. 10,00 CM LARG X 20,00 CM COMP X 08,00 CM ESPES";"2";"sem_giro";"0";"PAVER RETANG. 10,00 CM LARG X 20,00 CM COMP X 08,00 CM ESPES";"";"";"";"";"PAVER RETANG. 10,00 CM LARG X 20,00 CM COMP X 08,00 CM ESPES";"PAVER RETANG. 10,00 CM LARG";"AVULSO";"";"";"";"PAVER RETANG. 10,00 CM LARG › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c0283b2821c820e3a80"
"RT1-3TP";"PENEIRA P/AREIA ARO 50";"2";"sem_giro";"0";"PENEIRA P/AREIA ARO 50";"";"";"";"";"PENEIRA P/AREIA ARO 50";"PENEIRA P/AREIA ARO 50";"AVULSO";"";"";"";"PENEIRA P/AREIA ARO 50 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c02721f104d063817b4"
"4W9-RW2";"PIA PLASTICA ASTRA 8LTS 50X40CM BRANCO";"2";"sem_giro";"0";"PIA PLASTICA ASTRA 8LTS 50X40CM BRANCO";"";"";"";"";"PIA PLASTICA ASTRA 8LTS 50X40CM BRANCO";"PIA PLASTICA ASTRA 8LTS 50X40CM";"AVULSO";"";"";"";"PIA PLASTICA ASTRA 8LTS 50X40CM › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5c0483f1f7788a5dd141"
"916-3ZE";"PIA TRAMONTINA AÇO INOX 01CUBA 120X52";"2";"sem_giro";"0";"PIA TRAMONTINA AÇO INOX 01CUBA 120X52";"";"";"";"";"PIA TRAMONTINA AÇO INOX 01CUBA 120X52";"PIA TRAMONTINA AÇO INOX 01CUBA";"120X52";"";"";"Tramontina";"PIA TRAMONTINA AÇO INOX 01CUBA › 120X52 › Tramontina";"SIM";"Nome curto + apresentação";"69bd5c756202ff42923c5eaf"
"FCL-PD3";"PINCEL 1/2";"2";"sem_giro";"0";"PINCEL 1/2";"";"";"";"";"PINCEL 1/2";"PINCEL 1/2";"1/2";"";"";"";"PINCEL 1/2 › 1/2";"SIM";"Nome curto + apresentação";"69bd5c75367fd420a19a73fb"
"6TH-J15";"PINCEL PBRANCO ARTESANATO ROMA No.04";"2";"sem_giro";"0";"PINCEL PBRANCO ARTESANATO ROMA No.04";"";"";"";"";"PINCEL PBRANCO ARTESANATO ROMA No.04";"PINCEL PBRANCO ARTESANATO ROMA No.04";"AVULSO";"";"";"Roma";"PINCEL PBRANCO ARTESANATO ROMA No.04 › AVULSO › Roma";"SIM";"Produto avulso — revisar depois";"69bd5c77b92f375e9640c4bf"
"J4P-V3G";"PINCEL PLANO ARTESANATO ROMA No.02";"2";"sem_giro";"0";"PINCEL PLANO ARTESANATO ROMA No.02";"";"";"";"";"PINCEL PLANO ARTESANATO ROMA No.02";"PINCEL PLANO ARTESANATO ROMA No.02";"AVULSO";"";"";"Roma";"PINCEL PLANO ARTESANATO ROMA No.02 › AVULSO › Roma";"SIM";"Produto avulso — revisar depois";"69bd5c7788cb3cbf9c4b48d0"
"BKP-1JE";"PLAFON PLASTICO PRETO";"2";"sem_giro";"0";"PLAFON PLASTICO PRETO";"";"";"";"";"PLAFON PLASTICO PRETO";"PLAFON PLASTICO PRETO";"AVULSO";"";"";"";"PLAFON PLASTICO PRETO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cbe8cc80d079bd66c1e"
"899-UNV";"PLASTILON PVC 6M ARAFORROS";"2";"sem_giro";"0";"PLASTILON PVC 6M ARAFORROS";"";"";"";"";"PLASTILON PVC 6M ARAFORROS";"PLASTILON PVC 6M ARAFORROS";"6M";"";"";"";"PLASTILON PVC 6M ARAFORROS › 6M";"SIM";"Nome curto + apresentação";"69bd5cc094ff5b1b46b12b10"
"RAY-B40";"PLUG ADAPTADOR C/ PINO 2P+T 147 PERLEX";"2";"sem_giro";"0";"PLUG ADAPTADOR C/ PINO 2P+T 147 PERLEX";"";"";"";"";"PLUG ADAPTADOR C/ PINO 2P+T 147 PERLEX";"PLUG ADAPTADOR C/ PINO 2P+T";"AVULSO";"";"";"Perlex";"PLUG ADAPTADOR C/ PINO 2P+T › AVULSO › Perlex";"SIM";"Produto avulso — revisar depois";"69bd5cc05369da2b252bd893"
"W05-F32";"PLUG ADAPTADOR C/ PINO 2P+T 157 PERLEX (UNIVERSAL)";"2";"sem_giro";"0";"PLUG ADAPTADOR C/ PINO 2P+T 157 PERLEX (UNIVERSAL)";"";"";"";"";"PLUG ADAPTADOR C/ PINO 2P+T 157 PERLEX (UNIVERSAL)";"PLUG ADAPTADOR C/ PINO 2P+T";"AVULSO";"";"";"Perlex";"PLUG ADAPTADOR C/ PINO 2P+T › AVULSO › Perlex";"SIM";"Produto avulso — revisar depois";"69bd5cc02141c63aac264d5e"
"NQQ-YM9";"PLUG MACHO 10A";"3";"sem_giro";"0";"PLUG MACHO 10A";"";"";"";"";"PLUG MACHO 10A";"PLUG MACHO 10A";"AVULSO";"";"";"";"PLUG MACHO 10A › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cc1ffc7c6fa993c4afc"
"I2O-4DJ";"PLUG ROSCAVEL 1 1/2";"3";"sem_giro";"0";"PLUG ROSCAVEL 1 1/2";"";"";"";"";"PLUG ROSCAVEL 1 1/2";"PLUG ROSCAVEL 1 1/2";"1/2";"";"";"";"PLUG ROSCAVEL 1 1/2 › 1/2";"SIM";"Nome curto + apresentação";"69bd5cc1362e4ca2a8721bbe"
"51U-AVM";"PLUG ROSCAVEL 1 1/4";"3";"sem_giro";"0";"PLUG ROSCAVEL 1 1/4";"";"";"";"";"PLUG ROSCAVEL 1 1/4";"PLUG ROSCAVEL 1 1/4";"1/4";"";"";"";"PLUG ROSCAVEL 1 1/4 › 1/4";"SIM";"Nome curto + apresentação";"69bd5cc29d6edfd3d86f58b1"
"1AF-XNZ";"PLUG ROSCAVEL 1/2";"3";"sem_giro";"0";"PLUG ROSCAVEL 1/2";"";"";"";"";"PLUG ROSCAVEL 1/2";"PLUG ROSCAVEL 1/2";"1/2";"";"";"";"PLUG ROSCAVEL 1/2 › 1/2";"SIM";"Nome curto + apresentação";"69bd5cc2715b2ab3f217846b"
"O53-OT9";"PLUG ROSCAVEL 3/4";"3";"sem_giro";"0";"PLUG ROSCAVEL 3/4";"";"";"";"";"PLUG ROSCAVEL 3/4";"PLUG ROSCAVEL 3/4";"3/4";"";"";"";"PLUG ROSCAVEL 3/4 › 3/4";"SIM";"Nome curto + apresentação";"69bd5cc24d3de4c8e9865c20"
"3HN-RAN";"PONTALETE GALVANIZADO LEVE MONOFÁSICO 3";"3";"sem_giro";"0";"PONTALETE GALVANIZADO LEVE MONOFÁSICO 3";"";"";"";"";"PONTALETE GALVANIZADO LEVE MONOFÁSICO 3";"PONTALETE GALVANIZADO LEVE MONOFÁSICO 3";"AVULSO";"";"";"";"PONTALETE GALVANIZADO LEVE MONOFÁSICO 3 › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cc39c6dfe1d7d5db390"
"L0L-B7T";"PORCELENATO 60X120 SAFIRA MATE OXIDO #L #F";"3";"sem_giro";"0";"PORCELENATO 60X120 SAFIRA MATE OXIDO #L #F";"";"";"";"";"PORCELENATO 60X120 SAFIRA MATE OXIDO #L #F";"PORCELENATO 60X120 SAFIRA MATE OXIDO";"60X120";"";"";"";"PORCELENATO 60X120 SAFIRA MATE OXIDO › 60X120";"SIM";"Nome curto + apresentação";"69bd5cc61761fd1c2ce2fe04"
"9C8-BY4";"PORTA MADEIRA 0,80 X 2,10";"3";"sem_giro";"0";"PORTA MADEIRA 0,80 X 2,10";"";"";"";"";"PORTA MADEIRA 0,80 X 2,10";"PORTA MADEIRA 0,80 X 2,10";"80 X 2";"";"";"";"PORTA MADEIRA 0,80 X 2,10 › 80 X 2";"SIM";"Nome curto + apresentação";"69bd5cc8aa33a1bcfcf7da02"
"VE3-568";"PORTA MDF FRISADA 0,80 X 2,10";"3";"sem_giro";"0";"PORTA MDF FRISADA 0,80 X 2,10";"";"";"";"";"PORTA MDF FRISADA 0,80 X 2,10";"PORTA MDF FRISADA 0,80 X";"80 X 2";"";"";"";"PORTA MDF FRISADA 0,80 X › 80 X 2";"SIM";"Nome curto + apresentação";"69bd5cc8362e4ca2a8721bc0"
"0YM-46O";"PORTA MDF LISA 0,80 X 2,10";"3";"sem_giro";"0";"PORTA MDF LISA 0,80 X 2,10";"";"";"";"";"PORTA MDF LISA 0,80 X 2,10";"PORTA MDF LISA 0,80 X";"80 X 2";"";"";"";"PORTA MDF LISA 0,80 X › 80 X 2";"SIM";"Nome curto + apresentação";"69bd5cc94d3de4c8e9865c21"
"0ZR-3E1";"PORTA-CADEADO ZINCADO 2.1/2""";"3";"sem_giro";"0";"PORTA-CADEADO ZINCADO 2.1/2""";"";"";"";"";"PORTA-CADEADO ZINCADO 2.1/2""";"PORTA-CADEADO ZINCADO 2.1/2""";"1/2";"";"";"";"PORTA-CADEADO ZINCADO 2.1/2"" › 1/2";"SIM";"Nome curto + apresentação";"69bd5cc9a2183a63145add52"
"HPE-M3T";"PORTA-CADEADO ZINCADO 3.1/2""";"3";"sem_giro";"0";"PORTA-CADEADO ZINCADO 3.1/2""";"";"";"";"";"PORTA-CADEADO ZINCADO 3.1/2""";"PORTA-CADEADO ZINCADO 3.1/2""";"1/2";"";"";"";"PORTA-CADEADO ZINCADO 3.1/2"" › 1/2";"SIM";"Nome curto + apresentação";"69bd5cc93f69c167a9381170"
"RZD-4CB";"PREGOS ACO TEMPERADO 10X10MM";"3";"sem_giro";"0";"PREGOS ACO TEMPERADO 10X10MM";"";"";"";"";"PREGOS ACO TEMPERADO 10X10MM";"PREGOS ACO TEMPERADO 10X10MM";"AVULSO";"";"";"";"PREGOS ACO TEMPERADO 10X10MM › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5ccdb55914d4d78a4e90"
"RD0-IAB";"Produto EXEMPLO  - CHECAGEM -";"3";"sem_giro";"0";"Produto EXEMPLO  - CHECAGEM -";"";"";"";"";"Produto EXEMPLO  - CHECAGEM -";"Produto EXEMPLO - CHECAGEM -";"AVULSO";"";"";"";"Produto EXEMPLO - CHECAGEM - › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5ccd3ac56ef69730ea03"
"D0K-Z9G";"QUADRO DE DISTRIBUIÇAO 12/16 - TIGRE";"3";"sem_giro";"0";"QUADRO DE DISTRIBUIÇAO 12/16 - TIGRE";"";"";"";"";"QUADRO DE DISTRIBUIÇAO 12/16 - TIGRE";"QUADRO DISTRIBUIÇAO 12/16 - TIGRE";"12/16";"";"";"Tigre";"QUADRO DISTRIBUIÇAO 12/16 - TIGRE › 12/16 › Tigre";"SIM";"Nome curto + apresentação";"69bd5cd0f963c1a735f747a5"
"S8U-WCF";"QUADRO DE DISTRIBUIÇÃO 16 - KRONA";"3";"sem_giro";"0";"QUADRO DE DISTRIBUIÇÃO 16 - KRONA";"";"";"";"";"QUADRO DE DISTRIBUIÇÃO 16 - KRONA";"QUADRO DISTRIBUIÇÃO 16 - KRONA";"AVULSO";"";"";"";"QUADRO DISTRIBUIÇÃO 16 - KRONA › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cd0159e0819ac265295"
"HDO-AP8";"QUADRO DE DISTRIBUIÇÃO 3/4 - TIGRE";"3";"sem_giro";"0";"QUADRO DE DISTRIBUIÇÃO 3/4 - TIGRE";"";"";"";"";"QUADRO DE DISTRIBUIÇÃO 3/4 - TIGRE";"QUADRO DISTRIBUIÇÃO 3/4 - TIGRE";"3/4";"";"";"Tigre";"QUADRO DISTRIBUIÇÃO 3/4 - TIGRE › 3/4 › Tigre";"SIM";"Nome curto + apresentação";"69bd5cd15b5dae071976db48"
"CGC-39G";"QUADRO DE DISTRIBUIÇÃO 9/6 - MECTRONIC";"3";"sem_giro";"0";"QUADRO DE DISTRIBUIÇÃO 9/6 - MECTRONIC";"";"";"";"";"QUADRO DE DISTRIBUIÇÃO 9/6 - MECTRONIC";"QUADRO DISTRIBUIÇÃO 9/6 - MECTRONIC";"9/6";"";"";"";"QUADRO DISTRIBUIÇÃO 9/6 - MECTRONIC › 9/6";"SIM";"Nome curto + apresentação";"69bd5cd1a10b7e50164cfc87"
"EPA-7CM";"QUADRO DE DISTRIBUIÇÃO PARA EMBUTIR 12 PÓLOS - S/ BARRAMENTO";"3";"sem_giro";"0";"QUADRO DE DISTRIBUIÇÃO PARA EMBUTIR 12 PÓLOS - S/ BARRAMENTO";"";"";"";"";"QUADRO DE DISTRIBUIÇÃO PARA EMBUTIR 12 PÓLOS - S/ BARRAMENTO";"QUADRO DISTRIBUIÇÃO EMBUTIR 12 PÓLOS";"AVULSO";"";"";"";"QUADRO DISTRIBUIÇÃO EMBUTIR 12 PÓLOS › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cd1c7363ccd9c5724a7"
"COA-F09";"RALO CX SINF C/SAIDA ARTICULADA QUADRADO 100X100X50 - KRONA";"3";"sem_giro";"0";"RALO CX SINF C/SAIDA ARTICULADA QUADRADO 100X100X50 - KRONA";"";"";"";"";"RALO CX SINF C/SAIDA ARTICULADA QUADRADO 100X100X50 - KRONA";"RALO CX SINF C/SAIDA ARTICULADA";"100X100X50";"";"";"";"RALO CX SINF C/SAIDA ARTICULADA › 100X100X50";"SIM";"Nome curto + apresentação";"69bd5cd228a4ccff44690318"
"S5Z-3PF";"REGISTRO ESFEERA SOLDAVEL 60MM PVC";"3";"sem_giro";"0";"REGISTRO ESFEERA SOLDAVEL 60MM PVC";"";"";"";"";"REGISTRO ESFEERA SOLDAVEL 60MM PVC";"REGISTRO";"60MM";"";"";"";"REGISTRO › 60MM";"SIM";"Registro + medida";"69bd5ce55969ccc03a160ce2"
"WNR-CI9";"REGISTRO ESFERA PLAST 25MM SOLDAVEL - VEPS125";"3";"sem_giro";"0";"REGISTRO ESFERA PLAST 25MM SOLDAVEL - VEPS125";"";"";"";"";"REGISTRO ESFERA PLAST 25MM SOLDAVEL - VEPS125";"REGISTRO ESFERA";"25MM";"";"";"";"REGISTRO ESFERA › 25MM";"SIM";"Registro + medida";"69bd5ce528a4ccff44690320"
"U8D-260";"REGISTRO ESFERA PLASTICO 25MM SOLDAVEL - VEPS125";"3";"sem_giro";"0";"REGISTRO ESFERA PLASTICO 25MM SOLDAVEL - VEPS125";"";"";"";"";"REGISTRO ESFERA PLASTICO 25MM SOLDAVEL - VEPS125";"REGISTRO ESFERA";"25MM";"";"";"";"REGISTRO ESFERA › 25MM";"SIM";"Registro + medida";"69bd5ce679845daa782db720"
"LQ7-MUY";"REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140";"3";"sem_giro";"0";"REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140";"";"";"";"";"REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140";"REGISTRO ESFERA";"40MM";"";"";"";"REGISTRO ESFERA › 40MM";"SIM";"Registro + medida";"69bd5ce79177ff17ad9e1f26"
"TBN-RG2";"REGISTRO ESFERA ROSCÁVEL INTERNA 3/4 DIV";"3";"sem_giro";"0";"REGISTRO ESFERA ROSCÁVEL INTERNA 3/4 DIV";"";"";"";"";"REGISTRO ESFERA ROSCÁVEL INTERNA 3/4 DIV";"REGISTRO ESFERA";"3/4";"";"";"";"REGISTRO ESFERA › 3/4";"SIM";"Registro + medida";"69bd5ce8879dc9852dd295ae"
"ZJA-9CU";"REGISTRO ESFERA SOLDÁVEL 20MM PVC";"3";"sem_giro";"0";"REGISTRO ESFERA SOLDÁVEL 20MM PVC";"";"";"";"";"REGISTRO ESFERA SOLDÁVEL 20MM PVC";"REGISTRO ESFERA";"20MM";"";"";"";"REGISTRO ESFERA › 20MM";"SIM";"Registro + medida";"69bd5ce98b5ba6ff0098fcc0"
"F0D-5LW";"REGISTRO ESFERA SOLDÁVEL 25MM PVC";"3";"sem_giro";"0";"REGISTRO ESFERA SOLDÁVEL 25MM PVC";"";"";"";"";"REGISTRO ESFERA SOLDÁVEL 25MM PVC";"REGISTRO ESFERA";"25MM";"";"";"";"REGISTRO ESFERA › 25MM";"SIM";"Registro + medida";"69bd5ce9fdd78be953119bea"
"G9D-HYN";"REGISTRO HERC P/MAQ LAVAR BR 1/2";"3";"sem_giro";"0";"REGISTRO HERC P/MAQ LAVAR BR 1/2";"";"";"";"";"REGISTRO HERC P/MAQ LAVAR BR 1/2";"REGISTRO";"1/2";"";"";"";"REGISTRO › 1/2";"SIM";"Registro + medida";"69bd5cead81091420bc2b9d2"
"34Z-LW8";"REGISTRO HERC PRESSÃO ROSC C/CANOPLA 1/2";"3";"sem_giro";"0";"REGISTRO HERC PRESSÃO ROSC C/CANOPLA 1/2";"";"";"";"";"REGISTRO HERC PRESSÃO ROSC C/CANOPLA 1/2";"REGISTRO PRESSÃO";"1/2";"";"";"";"REGISTRO PRESSÃO › 1/2";"SIM";"Registro + medida";"69bd5cea073cbfe492b66438"
"TJH-S7T";"REGISTRO PARA CHUVEIRO BRANCO 1/2";"3";"sem_giro";"0";"REGISTRO PARA CHUVEIRO BRANCO 1/2";"";"";"";"";"REGISTRO PARA CHUVEIRO BRANCO 1/2";"REGISTRO";"1/2";"";"";"";"REGISTRO › 1/2";"SIM";"Registro + medida";"69bd5ceb99d4b2871a10d943"
"QS4-PSR";"REGISTRO PARA CHUVEIRO BRANCO 1/2";"3";"sem_giro";"0";"REGISTRO PARA CHUVEIRO BRANCO 1/2";"";"";"";"";"REGISTRO PARA CHUVEIRO BRANCO 1/2";"REGISTRO";"1/2";"";"";"";"REGISTRO › 1/2";"SIM";"Registro + medida";"69bd5ceafe73c53b9ad6ad48"
"FHQ-02Z";"REGISTRO PARA CHUVEIRO BRANCO 3/4";"3";"sem_giro";"0";"REGISTRO PARA CHUVEIRO BRANCO 3/4";"";"";"";"";"REGISTRO PARA CHUVEIRO BRANCO 3/4";"REGISTRO";"3/4";"";"";"";"REGISTRO › 3/4";"SIM";"Registro + medida";"69bd5cecf2d3c3f1d7968bcc"
"44J-C1D";"REGISTRO PARA CHUVEIROBRANCO 3/4";"3";"sem_giro";"0";"REGISTRO PARA CHUVEIROBRANCO 3/4";"";"";"";"";"REGISTRO PARA CHUVEIROBRANCO 3/4";"REGISTRO";"3/4";"";"";"";"REGISTRO › 3/4";"SIM";"Registro + medida";"69bd5cec0b365ad7fb666dec"
"DRA-98G";"REGISTRO PRESSAO J2 DN15";"3";"sem_giro";"0";"REGISTRO PRESSAO J2 DN15";"";"";"";"";"REGISTRO PRESSAO J2 DN15";"REGISTRO PRESSÃO";"15";"";"";"";"REGISTRO PRESSÃO › 15";"SIM";"Registro + medida";"69bd5cedda4e7cc926c00f0a"
"E1K-1HU";"REGISTRO ROSCÁVEL HERC EXTERNA 20MM";"3";"sem_giro";"0";"REGISTRO ROSCÁVEL HERC EXTERNA 20MM";"";"";"";"";"REGISTRO ROSCÁVEL HERC EXTERNA 20MM";"REGISTRO";"20MM";"";"";"";"REGISTRO › 20MM";"SIM";"Registro + medida";"69bd5cee557fc18ee9fe45dd"
"NOB-34A";"REGISTRO ROSCÁVEL HERC EXTERNA 25MM";"3";"sem_giro";"0";"REGISTRO ROSCÁVEL HERC EXTERNA 25MM";"";"";"";"";"REGISTRO ROSCÁVEL HERC EXTERNA 25MM";"REGISTRO";"25MM";"";"";"";"REGISTRO › 25MM";"SIM";"Registro + medida";"69bd5cee0b365ad7fb666ded"
"DN0-8DH";"RÉGUA PEDREIRO 2 M";"3";"sem_giro";"0";"RÉGUA PEDREIRO 2 M";"";"";"";"";"RÉGUA PEDREIRO 2 M";"RÉGUA PEDREIRO 2 M";"2 M";"";"";"";"RÉGUA PEDREIRO 2 M › 2 M";"SIM";"Nome curto + apresentação";"69bd5cee3786529a1edbef4c"
"0R4-XH1";"RÉGUA PEDREIRO 3 M";"3";"sem_giro";"0";"RÉGUA PEDREIRO 3 M";"";"";"";"";"RÉGUA PEDREIRO 3 M";"RÉGUA PEDREIRO 3 M";"3 M";"";"";"";"RÉGUA PEDREIRO 3 M › 3 M";"SIM";"Nome curto + apresentação";"69bd5ceef9d3d4f20dfdc755"
"8T0-BZ8";"REGULADOR P/GAS SEM MANGUEIRA";"3";"sem_giro";"0";"REGULADOR P/GAS SEM MANGUEIRA";"";"";"";"";"REGULADOR P/GAS SEM MANGUEIRA";"REGULADOR P/GAS SEM MANGUEIRA";"AVULSO";"";"";"";"REGULADOR P/GAS SEM MANGUEIRA › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cefcc043d006154d2ee"
"0MM-9Y1";"REGULADOR P/GAS SEM MANGUEIRA";"3";"sem_giro";"0";"REGULADOR P/GAS SEM MANGUEIRA";"";"";"";"";"REGULADOR P/GAS SEM MANGUEIRA";"REGULADOR P/GAS SEM MANGUEIRA";"AVULSO";"";"";"";"REGULADOR P/GAS SEM MANGUEIRA › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5cefe2dc8df131731e4b"
"9B7-5P3";"ROLO DE ESPUMA 05 CM";"3";"sem_giro";"0";"ROLO DE ESPUMA 05 CM";"";"";"";"";"ROLO DE ESPUMA 05 CM";"ROLO ESPUMA 05 CM";"AVULSO";"";"";"";"ROLO ESPUMA 05 CM › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d02352eeca99b975dae"
"5CS-T74";"ROLO DE ESPUMA 09 CM";"3";"sem_giro";"0";"ROLO DE ESPUMA 09 CM";"";"";"";"";"ROLO DE ESPUMA 09 CM";"ROLO ESPUMA 09 CM";"AVULSO";"";"";"";"ROLO ESPUMA 09 CM › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d028d7f0a7b8f277543"
"PHT-U2K";"ROLO DE ESPUMA PROF 15CM";"3";"sem_giro";"0";"ROLO DE ESPUMA PROF 15CM";"";"";"";"";"ROLO DE ESPUMA PROF 15CM";"ROLO ESPUMA PROF 15CM";"AVULSO";"";"";"";"ROLO ESPUMA PROF 15CM › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d0319855641c8be6353"
"Y90-TQH";"ROLO DE LA  05 CM";"3";"sem_giro";"0";"ROLO DE LA  05 CM";"";"";"";"";"ROLO DE LA  05 CM";"ROLO LA 05 CM";"AVULSO";"";"";"";"ROLO LA 05 CM › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d04de9614ca42174f92"
"PMV-947";"ROLO DE LA  09 CM";"3";"sem_giro";"0";"ROLO DE LA  09 CM";"";"";"";"";"ROLO DE LA  09 CM";"ROLO LA 09 CM";"AVULSO";"";"";"";"ROLO LA 09 CM › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d04d9559df2829af717"
"GIG-51F";"ROLO DE LA 15 CM";"3";"sem_giro";"0";"ROLO DE LA 15 CM";"";"";"";"";"ROLO DE LA 15 CM";"ROLO LA 15 CM";"AVULSO";"";"";"";"ROLO LA 15 CM › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d045969ccc03a160cf1"
"FD0-O28";"ROLO DE LA SINTETICA C/ CABO 23CM CONDOR";"3";"sem_giro";"0";"ROLO DE LA SINTETICA C/ CABO 23CM CONDOR";"";"";"";"";"ROLO DE LA SINTETICA C/ CABO 23CM CONDOR";"ROLO LA SINTETICA C/ CABO";"AVULSO";"";"";"";"ROLO LA SINTETICA C/ CABO › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d057819a0d0016506a6"
"DLI-E6N";"ROLO TEXTURA 23CM S/CABO ROMA";"3";"sem_giro";"0";"ROLO TEXTURA 23CM S/CABO ROMA";"";"";"";"";"ROLO TEXTURA 23CM S/CABO ROMA";"ROLO TEXTURA 23CM S/CABO ROMA";"AVULSO";"";"";"Roma";"ROLO TEXTURA 23CM S/CABO ROMA › AVULSO › Roma";"SIM";"Produto avulso — revisar depois";"69bd5d05f40b3dbe4b0a7539"
"MX7-JWJ";"SACA DE FIBRA";"3";"sem_giro";"0";"SACA DE FIBRA";"";"";"";"";"SACA DE FIBRA";"SACA FIBRA";"AVULSO";"";"";"";"SACA FIBRA › AVULSO";"SIM";"Produto avulso — revisar depois";"69bd5d05de542b9f2ac3b1d2"
"B26-D8C";"SELADOR P/ MADEIRA INCOLOR IQUINE - LT";"3";"sem_giro";"0";"SELADOR P/ MADEIRA INCOLOR IQUINE - LT";"";"";"";"";"SELADOR P/ MADEIRA INCOLOR IQUINE - LT";"TINTA SELADOR ACRÍLICO";"AVULSO";"";"";"Iquine";"TINTA SELADOR ACRÍLICO › AVULSO › Iquine";"SIM";"Tinta/verniz: produto + volume";"69bd5d07c5b1728a6f773f9e"
